"Owner","Name","Level","Threats","DefendUtcDayOfWeek","DefendUtcTime","Notes"
"LEGN","Eldur",2,"","Tuesday","12:00 AM","Mondays at 8:00 PM"
"BØØM","Abilakk",2,"M","Tuesday","1:00 AM","Mondays at 9:00 PM"
"HOWL","Tefkari",1,"","Wednesday","9:00 PM","Wednesdays at 5:00 PM"
"PHNX","Nujord",1,"","Wednesday","10:00 PM","Wednesdays at 6:00 PM"
"LEGN","Thosz",1,"BORG","Thursday","12:00 AM","Wednesdays at 8:00 PM"
"BØØM","Lenara",1,"","Thursday","1:00 AM","Wednesdays at 9:00 PM"
"LEGN","Vantar",2,"","Thursday","5:00 PM","Thursdays at 1:00 PM"
"GFSF","Burran",2,"STBL, ZERØ","Thursday","7:00 PM","Thursdays at 3:00 PM"
"BØØM","Triss",2,"ROTJ","Thursday","8:00 PM","Thursdays at 4:00 PM"
"GFSF","Brijac",2,"","Thursday","9:00 PM","Thursdays at 5:00 PM"
"PHNX","Ber'Tho",2,"M, SVG","Friday","1:00 AM","Thursdays at 9:00 PM"
"GFSF","Comst",1,"ZERØ, ERIE","Friday","4:00 PM","Fridays at 12:00 PM"
"HOWL","Framtid",1,"","Friday","5:00 PM","Fridays at 1:00 PM"
"FED","Saldeti",1,"SVG","Friday","7:00 PM","Fridays at 3:00 PM"
"U","Kolava",1,"TIDE","Friday","9:00 PM","Fridays at 5:00 PM"
"GFSF","Beku",1,"SVG","Friday","10:00 PM","Fridays at 6:00 PM"
"LEGN","Klefaski",1,"","Friday","11:00 PM","Fridays at 7:00 PM"
"BØØM","Mak'ala",3,"CATA","Saturday","8:00 PM","Saturdays at 4:00 PM"
"GFSF","Barasa",3,"","Saturday","11:00 PM","Saturdays at 7:00 PM"
"FED","Gelida",1,"SVG","Sunday","5:00 PM","Sundays at 1:00 PM"
"HOWL","Inslann",1,"","Sunday","6:00 PM","Sundays at 2:00 PM"
"BØØM","Helvi",1,"","Sunday","8:00 PM","Sundays at 4:00 PM"
